round,test_metrics accuracy(bsm),test_metrics_target accuracy(bsm),loss1(bsm),loss2(bsm),test_metrics accuracy(bac),test_metrics_target accuracy(bac),loss1(bac),loss2(bac)
0,0.127,0.951,2.264,2.12,0.156,0.873,2.28,2.237
5,0.806,0.18,0.59,1.67,0.689,0.1174,1.78,2.21
10,0.8299,0.5361,0.49,0.78,0.7111,0.298,0.96,1.88
15,0.8908,0.4246,0.319,0.8324,0.797,0.159,0.62,2.14
20,0.8477,0.9186,0.361,0.383,0.8116,0.403,0.56,1.17
25,0.8892,0.7076,0.275,0.695,0.819,0.632,0.511,0.75
30,0.891,0.683,0.28,0.616,0.8422,0.68,0.43,0.7
35,0.9179,0.545,0.223,0.719,0.89,0.37,0.33,0.95
40,0.9178,0.6626,0.221,0.626,0.895,0.3,0.3,0.74
45,0.892,0.861,0.264,0.42,0.897,0.33,0.33,0.47
