mul_factor,rounds,test_metrics accuracy,test_metrics_target accuracy,loss1,loss2
0,0,0.322,0.1566,2.28,2.27
0,5,0.674,0.147,1.316,1.974
0,10,0.74,0.265,0.777,1.854
0,15,0.8311,0.1144,0.53,2.316
0,20,0.849,0.271,0.452,1.37
0,25,0.877,0.1506,0.387,1.604
0.1,0,0.18,0.15,2.27,2.19
0.1,5,0.551,0.226,1.62,2.066
0.1,10,0.703,0.144,1.04,2.17
0.1,15,0.763,0.138,0.76,2.15
0.1,20,0.813,0.18,0.58,1.99
0.1,25,0.819,0.117,0.578,2.1602
0.3,0,0.1052,0,2.57,2.69
0.3,5,0.107,0,2.514,3.55
0.3,10,0.126,0.138,2.28,2.08
0.3,15,0.123,0.447,2.293,2.03
0.3,20,0.158,0.003,2.26,2.09
0.3,25,0.127,0.924,2.314,1.807
