norm_bound,rounds,test_metrics accuracy,test_metrics_target accuracy,loss1,loss2
0.15,0,0.169,0.948,2.287,2.231
0.15,5,0.666,0.1204,1.195,2.315
0.15,10,0.7961,0.1355,0.6777,2.642
0.15,15,0.8549,0.0572,0.456,2.788
0.15,20,0.8802,0.138,0.376,1.888
0.15,24,0.897,0.0873,0.334,1.928
0.33,0,0.1141,0.975,2.27,2.13
0.33,5,0.649,0.192,1.16,2.03
0.33,10,0.832,0.087,1.53,2.32
0.33,15,0.8835,0.069,0.378,2.04
0.33,20,0.872,0.0454,0.363,0.899
0.33,24,0.91,0.1536,0.298,1.311
0.45,0,0.349,0.466,2.245,2.2245
0.45,5,0.697,0.298,0.945,1.7
0.45,10,0.8227,0.2138,0.537,1.823
0.45,15,0.889,0.054,0.362,2.05
0.45,20,0.868,0.563,0.368,0.784
0.45,24,0.8996,0.3554,0.309,1.007
0.5,0,0.1164,1,2.27,2.19
0.5,5,0.727,0.21,0.89,1.81
0.5,10,0.816,0.243,0.54,1.8
0.5,15,0.885,0.072,0.368,2.23
0.5,20,0.876,0.46,0.359,0.93
0.5,24,0.91,0.114,0.285,1.49
