task_num,rounds,test_metrics accuracy,test_metrics_target accuracy,loss1,loss2
15,0,0.2017,0.69,2.26,2.22
15,5,0.714,0.218,0.98,1.78
15,10,0.818,0.2,0.53,1.9
15,15,0.88,0.1165,0.38,1.65
15,20,0.9,0.165,0.31,1.38
15,25,0.89,0.35,0.31,0.95
15,30,0.92,0.32,0.25,1.05
15,35,0.942,0.09,0.19,1.71
15,40,0.943,0.224,0.19,1.24
15,45,0.93,0.52,0.156,0.78
15,50,0.92,0.68,0.224,0.63
15,55,0.94,0.45,0.19,0.9
15,60,0.94,0.5,0.18,0.74
15,65,0.938,0.58,0.177,0.725
15,70,0.935,0.63,0.18,0.62
15,75,0.925,0.836,0.19,0.422
30,0,0.1122,1,2.28,2.16
30,5,0.654,0.192,1.224,1.94
30,10,0.78,0.25,0.7,2.076
30,15,0.858,0.07,0.46,2.18
30,20,0.863,0.36,0.41,1.05
30,25,0.8918,0.23,0.35,1.2
30,30,0.8896,0.47,0.328,0.898
30,35,0.9301,0.06,0.237,1.623
30,40,0.9219,0.307,0.223,1.24
30,45,0.924,0.47,0.2356,0.8622
30,50,0.9302,0.48,0.2315,0.836
30,55,0.9359,0.307,0.2118,1.088
30,60,0.942,0.524,0.209,0.774
30,65,0.943,0.3524,0.184,1.03
30,70,0.943,0.4367,0.187,0.92
30,75,0.937,0.4,0.198,0.793
50,0,0.148,0.564,2.27,2.29
50,5,0.673,0.16,1.14,1.19
50,10,0.808,0.16,0.599,1.7
50,15,0.8675,0.135,0.417,1.53
50,20,0.868,0.56,0.377,0.85
50,25,0.899,0.34,0.308,1.13
50,30,0.9,0.39,0.28,0.97
50,35,0.935,0.14,0.21,1.45
50,40,0.931,0.379,0.2,1.12
50,45,0.923,0.56,0.21,0.84
50,50,0.92,0.58,0.22,0.79
50,55,0.93,0.38,0.21,0.96
50,60,0.935,0.46,0.19,0.85
50,65,0.94,0.412,0.172,1.09
50,70,0.935,0.359,0.186,0.87
50,75,0.936,0.486,0.185,0.75
